事件,參數,參數值,參數值說明,頁面,觸發時機,Android埋設,Android進版號,iOS埋設,iOS進版號,
,location_id,1,由左至右、由上至下，顯示1-n,,,,,,,
app_notification_open,name,測試galleryPlaylist,推播訊息的名稱,,開啟推播,true,,true,,
,time,Wed Jul 27 2022 12:00:00 GMT+0800 (Taiwan Standard Time),發送推播訊息的時間,,,,,,,
app_notification_receive,name,通知主題,推播訊息的名稱,,收到推播,true,,true,,
,time,發送時間
2023-12-01 23:25:29,發送推播訊息的時間,,,true,,true,,
,referral,background,背景收到推播,,,true,,true,,
,,foreground,前景收到推播,,,true,,true,,
,,launch,APP未開啟,,,true,,true,,
search,search_term,動物園,搜尋字詞,搜尋頁,送出搜尋文字後,true,,true,,
,referral,自行輸入,搜尋觸發的位置,,,,,,,
,,熱門搜尋,,,,,,,,
,,最近搜尋,,,,,,,,
click_voice_search,position_page,分類列表,,,點擊輸入框旁的語音搜尋按鈕(僅安卓),true,,true,,
click_search,position_page,首頁、分類列表,,,首頁:點放大鏡
分類列表:點搜尋輸入欄位,true,,true,,
search_failed,search_term,動物園,搜尋字詞,搜尋頁,顯示查無相關結果時送出事件,true,,true,,
view_home,position_page,home,首頁,首頁,進入首頁時觸發。5.0.0改版後，因為事件重新規劃，故刪除參數，僅保留事件,true,5.0.0,true,5.0.0,
,location_id,1,區塊於首頁中的排序位置,,,,,,,
,position_type,main_carousel,大banner區塊,,,,,,,
,,interactive_story,互動故事區塊,,,,,,,
,,age_recommend,分齡推薦,,,,,,,
,,topic_recommend,編輯主題推薦,,,,,,,
,,gallery_album,專輯策展頁*new,,,,,,,
,,gallery_playlist,清單策展頁*new,,,,,,,
,,ranking_list,排行榜*new,,,,,,,
,,latest_list,最新上架*New,,,,,,,
,,u2i_recommend,更多寶貝喜愛的,,,,,,,
,,kid_recommend,小孩喜好推薦,,,,,,,
,,quests,特別活動列表,,,,,,,
,position_title,{position_type}_{版位自訂標題},各區塊的標題,,,,,,,
,position_id,605,專輯id/banner id,,,,,,,
,position_name,晚安故事摩天輪 12,專輯或banner名稱,,,,,,,
,index,1,曝光排序位置（1~N),,,,,,,
click_home,position_page,home,首頁,首頁,用戶點擊首頁區塊時觸發
5.0.0改版後，因為事件重新規劃，故刪除事件,true,5.0.0,true,5.0.0,
,location_id,1,區塊於首頁中的排序位制,,,,,,,
,position_type,main_carousel,大banner區塊,,,,,,,
,,interactive_story,互動故事區塊,,,,,,,
,,age_recommend,分齡推薦,,,,,,,
,,topic_recommend,編輯主題推薦,,,,,,,
,,gallery_album,人氣故事系列*new,,,,,,,
,,gallery_playlist,精選主題推薦*new,,,,,,,
,,ranking_list,排行榜*new,,,,,,,
,,latest_list,最新上架*new,,,,,,,
